127.0.0.1 - - [14/Jan/2021:20:45:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:45:28 +0900] "GET /index HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:45:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:45:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/index HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/resource/css/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/css/about.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/css/facility.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/css/index.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/img/O_fine_logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /resources/img/O_index1.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/img/O_index3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:15 +0900] "GET /myapp/img/O_index2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/index HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/css/facility.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/css/index.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /css/about.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/img/O_fine_logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /resources/img/O_index1.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/img/O_index2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /myapp/img/O_index3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Jan/2021:20:46:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
